Row,Column,line.id,line.name,seed.weight_20190208.65.1,plant_date_20190318.1.1,vern_end_date_20190318.1.1,flowering_date,final_leaf_number,spikelet_number,height_mm,tiller_count,spike_length
1,10,11,RANEE,5.73,20180413,20180613,20180913,9,20,724,4,73
2,4,3,FORTUNE,4.37,20180413,20180613,20180808,8,14,496,4,54
3,1,16,YAKTANA_54,7.19,20180413,20180613,20180913,9,22,970,5,98
3,2,33,FLORENCE,11.66,20180413,20180613,20180906,10,25,776,8,102
3,3,13,STEINWEDEL,2.87,20180413,20180613,20181008,11,23,868,3,114
3,7,37,MARINGA,1.22,20180413,20180613,20180815,9,21,962,4,97
5,12,44,COOK,6.41,20180413,20180613,20180831,9,14,379,10,62
6,4,32,KITE,8.48,20180413,20180613,20180810,8,18,428,6,93
7,5,18,DUNDEE,1.3,20180413,20180613,20180827,10,19,563,8,74
7,9,28,LANCER,1.15,20180413,20180613,20180813,8,12,320,2,57
8,3,21,INSIGNIA,9.78,20180413,20180613,20180927,10,22,693,7,104
8,11,4,GABO,4.1,20180413,20180613,20180831,8,11,412,5,55
18,5,35,WW15,0.12,20180413,20180613,20180927,9,17,456,5,63
19,5,12,SABRE,5.68,20180413,20180613,20180827,9,18,511,3,58
20,5,21,INSIGNIA,5.18,20180413,20180613,20180921,11,22,708,4,73
20,7,19,ETAWAH,3.75,20180413,20180613,20180824,7,16,463,7,58
22,1,32,KITE,4.92,20180413,20180613,20180903,7,13,209,5,58
24,1,39,EGRET,5.05,20180413,20180613,20180810,8,18,381,9,77
24,2,18,DUNDEE,1.39,20180413,20180613,20180815,9,18,497,6,89
24,6,22,OLYMPIC,3.77,20180413,20180613,20180906,10,14,487,5,57
24,8,23,YANDILLA,3.07,20180413,20180613,20181008,9,18,548,4,56
27,3,14,CURRAWA,6.19,20180413,20180613,20181008,13,20,700,3,100
29,8,1,FEDERATION,6.91,20180413,20180613,20180924,13,17,570,5,81
33,2,22,OLYMPIC,0.07,20180413,20180613,20180813,8,19,328,3,78
33,6,17,BENCUBBIN,1.24,20180413,20180613,20181008,10,16,327,2,64
33,10,10,PURPLE_STRAW,2.1,20180413,20180613,20180822,10,17,434,4,74
35,1,42,VERANOPOLIS,0.43,20180413,20180613,20180801,8,17,380,1,88
37,6,21,INSIGNIA,4.09,20180413,20180613,20180924,10,17,450,4,69
38,4,39,EGRET,3.48,20180413,20180613,20180815,6,18,444,7,74
38,9,9,PITIC_62,1.78,20180413,20180613,20180910,7,17,260,3,50
49,11,34,YECORA_70,1.18,20180413,20180613,20180827,8,17,232,3,80
52,10,25,WW80,3.1,20180413,20180613,20180808,6,16,298,3,74
53,5,17,BENCUBBIN,10.7,20180413,20180613,20180906,9,20,803,6,87
54,2,15,WARDS_PROLIFIC,8.18,20180413,20180613,20180822,9,18,690,6,78
54,11,40,MADDEN,4.05,20180413,20180613,20180903,10,20,402,4,66
55,6,3,FORTUNE,2.88,20180413,20180613,20180806,8,15,462,3,57
55,7,29,HALBERD,6.15,20180413,20180613,20180927,10,16,456,4,58
55,10,15,WARDS_PROLIFIC,4.96,20180413,20180613,20180831,10,13,583,6,54
60,7,9,PITIC_62,3.29,20180413,20180613,20180921,10,15,570,2,72
65,8,3,FORTUNE,1.78,20180413,20180613,20180808,8,15,525,2,54
66,2,36,SONORA_64,4.17,20180413,20180613,20180822,8,18,513,3,1
67,9,13,STEINWEDEL,4.7,20180413,20180613,20180815,8,17,558,5,84
68,8,1,FEDERATION,6.47,20180413,20180613,20181008,11,16,378,7,76
68,12,20,GHURKA,8.33,20180413,20180613,20181008,12,16,547,6,83
70,6,18,DUNDEE,0.22,20180413,20180613,20180903,9,20,498,3,68
72,3,31,TIMGALEN,6.53,20180413,20180613,20180830,8,16,470,9,73
81,4,20,GHURKA,2.23,20180413,20180613,20180921,11,12,458,4,46
81,8,9,PITIC_62,1.14,20180413,20180613,20180827,7,15,425,2,78
83,1,24,INDIAN_G,1.04,20180413,20180613,20180810,7,15,337,4,40
83,9,29,HALBERD,2.92,20180413,20180613,20181008,10,14,434,5,53
84,10,6,HUDSONS_EARLY_PURPLE_STRAW,7.05,20180413,20180613,20180808,11,18,495,3,76
85,8,30,EAGLE,2.06,20180413,20180613,20180806,6,15,398,3,67
87,3,40,MADDEN,0.76,20180413,20180613,20180808,8,15,356,1,70
88,7,8,ORION,1.59,20180413,20180613,20180822,7,16,226,3,79
88,9,31,TIMGALEN,1.76,20180413,20180613,20180810,7,15,386,4,65
88,10,30,EAGLE,1.89,20180413,20180613,20180730,7,15,518,4,67
88,11,40,MADDEN,2.39,20180413,20180613,20180806,8,17,636,2,68
97,2,4,GABO,6.87,20180413,20180613,20180813,7,11,239,7,76
97,9,6,HUDSONS_EARLY_PURPLE_STRAW,15.66,20180413,20180613,20180820,13,24,400,8,85
97,10,30,EAGLE,3.7,20180413,20180613,20180806,7,11,367,4,58
98,4,11,RANEE,3.68,20180413,20180613,20180831,13,21,390,5,70
99,5,20,GHURKA,6.85,20180413,20180613,20181008,11,15,475,6,62
99,8,25,WW80,5.99,20180413,20180613,20180822,13,16,610,4,78
100,3,10,PURPLE_STRAW,1.84,20180413,20180613,20180815,10,17,736,2,78
103,3,6,HUDSONS_EARLY_PURPLE_STRAW,7.7,20180413,20180613,20181008,13,24,570,5,74
104,1,44,COOK,6.73,20180413,20180613,20180808,7,16,344,8,75
105,2,31,TIMGALEN,0.68,20180413,20180613,20180810,7,12,342,3,51
106,1,38,CONDOR,4.93,20180413,20180613,20180808,9,17,325,5,62
106,3,29,HALBERD,4.87,20180413,20180613,20180921,11,19,80,3,639
107,4,43,OXLEY,1.58,20180413,20180613,20180810,8,17,435,4,70
108,4,19,ETAWAH,2.81,20180413,20180613,20180831,8,11,551,3,60
108,6,10,PURPLE_STRAW,2.8,20180413,20180613,20180820,9,18,760,1,70
108,12,18,DUNDEE,2.54,20180413,20180613,20180815,8,15,502,2,75
109,3,28,LANCER,5.14,20180413,20180613,20180815,9,16,330,5,80
109,9,15,WARDS_PROLIFIC,0.47,20180413,20180613,20180827,8,13,490,1,50
110,1,1,FEDERATION,5.69,20180413,20180613,20181008,9,15,335,5,79
110,4,36,SONORA_64,1.56,20180413,20180613,20180808,7,17,585,0,87
110,5,6,HUDSONS_EARLY_PURPLE_STRAW,4.35,20180413,20180613,20181011,10,17,575,2,80
110,10,19,ETAWAH,2.12,20180413,20180613,20180813,7,11,539,5,55
111,6,9,PITIC_62,3.82,20180413,20180613,20181008,6,10,430,2,70
111,8,42,VERANOPOLIS,3.07,20180413,20180613,20180808,8,18,646,5,100
112,6,37,MARINGA,3.82,20180413,20180613,20180830,8,19,829,2,90
112,7,33,FLORENCE,5.95,20180413,20180613,20180913,12,19,725,3,95
113,1,32,KITE,1,20180413,20180613,20180806,6,15,290,2,65
113,12,27,GULAR,7.01,20180413,20180613,20180815,7,15,455,6,80
114,6,8,ORION,3.92,20180413,20180613,20180813,8,21,478,3,112
116,10,38,CONDOR,3.51,20180413,20180613,20180808,8,16,432,4,66
117,12,17,BENCUBBIN,5.2,20180413,20180613,20181008,13,19,580,5,91
119,10,2,FESTIGUAY,4.22,20180413,20180613,20181011,13,17,408,6,44
121,6,33,FLORENCE,1.45,20180413,20180613,20180906,9,17,797,1,92
122,2,10,PURPLE_STRAW,2.05,20180413,20180613,20180829,10,12,647,3,60
122,6,33,FLORENCE,5.34,20180413,20180613,20180906,10,21,568,4,98
123,4,15,WARDS_PROLIFIC,0.3,20180413,20180613,20180910,9,12,294,2,45
124,8,42,VERANOPOLIS,0.27,20180413,20180613,20180813,9,17,695,1,100
127,5,29,HALBERD,2.88,20180413,20180613,20181008,10,15,384,3,59
128,1,12,SABRE,0.72,20180413,20180613,20180829,8,14,253,0,60
128,7,24,INDIAN_G,1.22,20180413,20180613,20180810,7,11,315,2,42
129,6,19,ETAWAH,0.55,20180413,20180613,20180815,8,17,474,3,69
132,5,16,YAKTANA_54,3.36,20180413,20180613,20180921,11,22,868,2,90
134,8,43,OXLEY,0.57,20180413,20180613,20180906,8,18,411,4,69
135,1,25,WW80,4.47,20180413,20180613,20180815,7,18,240,6,62
135,2,16,YAKTANA_54,6.83,20180413,20180613,20180921,10,18,645,5,70
137,1,27,GULAR,3.88,20180413,20180613,20180808,7,19,495,7,77
137,2,13,STEINWEDEL,8,20180413,20180613,20180910,10,26,700,5,97
137,6,1,FEDERATION,3.59,20180413,20180613,20180921,11,19,623,3,91
137,11,28,LANCER,0.62,20180413,20180613,20180810,8,16,309,3,73
139,2,36,SONORA_64,2.5,20180413,20180613,20180824,7,18,425,6,88
139,6,39,EGRET,2.97,20180413,20180613,20180822,9,14,407,3,53
139,8,39,EGRET,2.11,20180413,20180613,20180815,9,18,442,4,78
141,9,42,VERANOPOLIS,1.88,20180413,20180613,20180808,7,17,783,3,90
144,4,22,OLYMPIC,4.26,20180413,20180613,20180903,9,21,414,4,96
